start
halfway
(10000, 5392)
         2949286 function calls (2915701 primitive calls) in 14.653 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.003    0.003 __init__.py:274(load)
        1    0.000    0.000    0.003    0.003 socket.py:1(<module>)
     1338    0.001    0.000    0.003    0.000 re.py:187(match)
        1    0.000    0.000    0.003    0.003 decimal.py:1(<module>)
   114/56    0.000    0.000    0.003    0.000 pyparsing.py:3968(copy)
        2    0.000    0.000    0.003    0.002 polynomial.py:1(<module>)
      358    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:173(__exit__)
        4    0.000    0.000    0.003    0.001 __init__.py:299(loads)
     7245    0.003    0.000    0.003    0.000 sre_parse.py:234(__next)
        4    0.000    0.000    0.003    0.001 decoder.py:332(decode)
        1    0.000    0.000    0.003    0.003 ntpath.py:1(<module>)
     5396    0.003    0.000    0.003    0.000 _ufunc_config.py:425(__init__)
       17    0.001    0.000    0.003    0.000 enum.py:180(__new__)
        4    0.001    0.000    0.003    0.001 decoder.py:343(raw_decode)
        3    0.000    0.000    0.003    0.001 patches.py:2159(pprint_styles)
        1    0.000    0.000    0.003    0.003 scimath.py:1(<module>)
    11962    0.002    0.000    0.003    0.000 _mathtext.py:2469(<genexpr>)
       63    0.000    0.000    0.003    0.000 colors.py:980(reversed)
    23603    0.003    0.000    0.003    0.000 {method 'isidentifier' of 'str' objects}
    24936    0.003    0.000    0.003    0.000 inspect.py:2680(name)
       10    0.001    0.000    0.003    0.000 pyparsing.py:3140(__init__)
    21599    0.003    0.000    0.003    0.000 {built-in method numpy.asarray}
        8    0.000    0.000    0.003    0.000 enum.py:483(_create_)
      284    0.001    0.000    0.003    0.000 function_base.py:475(add_newdoc)
        1    0.000    0.000    0.003    0.003 _add_newdocs.py:1(<module>)
       76    0.003    0.000    0.003    0.000 {built-in method posix.pipe}
     56/9    0.000    0.000    0.003    0.000 pyparsing.py:3897(leaveWhitespace)
       36    0.003    0.000    0.003    0.000 util.py:186(__init__)
       63    0.000    0.000    0.003    0.000 colors.py:999(<dictcomp>)
       60    0.000    0.000    0.003    0.000 __init__.py:742(_open_file_or_url)
        3    0.000    0.000    0.003    0.001 patches.py:2163(<listcomp>)
     5392    0.002    0.000    0.003    0.000 linalg.py:112(isComplexType)
   114/56    0.000    0.000    0.003    0.000 pyparsing.py:3970(<listcomp>)
      359    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
        1    0.000    0.000    0.003    0.003 afm.py:1(<module>)
       33    0.000    0.000    0.003    0.000 contextlib.py:130(__enter__)
    10784    0.003    0.000    0.003    0.000 fromnumeric.py:2362(_all_dispatcher)
      283    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
