construction time 7.632368087768555
solution time 30.442911386489868
         2971872 function calls (2945852 primitive calls) in 41.278 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.005    0.001 <__array_function__ internals>:177(meshgrid)
    10116    0.004    0.000    0.005    0.000 sre_parse.py:165(__getitem__)
 1747/544    0.004    0.000    0.005    0.000 sre_parse.py:175(getwidth)
       29    0.000    0.000    0.005    0.000 overloads.py:48(register_simple_overload)
       29    0.002    0.000    0.005    0.000 enum.py:180(__new__)
      428    0.000    0.000    0.005    0.000 colors.py:111(is_color_like)
        3    0.000    0.000    0.005    0.002 common.py:1(<module>)
      593    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
        4    0.000    0.000    0.005    0.001 dataclasses.py:1157(dataclass)
        4    0.000    0.000    0.005    0.001 dataclasses.py:1175(wrap)
        4    0.000    0.000    0.005    0.001 dataclasses.py:882(_process_class)
        1    0.000    0.000    0.005    0.005 functions.py:1(<module>)
        1    0.000    0.000    0.005    0.005 ticker.py:1(<module>)
        1    0.000    0.000    0.005    0.005 cgutils.py:1(<module>)
        1    0.000    0.000    0.005    0.005 socket.py:1(<module>)
     7599    0.005    0.000    0.005    0.000 {built-in method builtins.abs}
        1    0.000    0.000    0.005    0.005 npydecl.py:1(<module>)
        9    0.000    0.000    0.004    0.000 typeconv.py:84(unsafe)
        1    0.000    0.000    0.004    0.004 font_manager.py:1429(_load_fontmanager)
      137    0.000    0.000    0.004    0.000 rcsetup.py:88(f)
        1    0.000    0.000    0.004    0.004 defmatrix.py:1(<module>)
       12    0.000    0.000    0.004    0.000 castgraph.py:128(safe)
        1    0.000    0.000    0.004    0.004 shutil.py:1(<module>)
       31    0.002    0.000    0.004    0.000 threading.py:827(__init__)
    46094    0.004    0.000    0.004    0.000 {built-in method builtins.callable}
        4    0.001    0.000    0.004    0.001 function_base.py:4892(meshgrid)
        1    0.000    0.000    0.004    0.004 fromnumeric.py:1(<module>)
